store_id,uptime_last_hour,uptime_last_day,uptime_last_week,downtime_last_hour,downtime_last_day,downtime_last_week
2a77eaed-c15e-4886-b8d3-69c9aa5fc9f5,0.0,8.03,55.65,0.0,5.97,42.35
24bd3d2b-c540-4eb9-8592-2c96b7da477a,0.0,9.78,78.35,0.0,5.97,49.15
773405fc-008c-4317-9543-5ff2a6cef03c,0.0,1.38,9.73,0.0,7.12,49.77
b982a786-1f5f-4e8c-8cdd-974a4d6eea47,33.69,5.69,39.92,0.0,8.3,58.0
b5a80364-5c41-422a-a31d-0e97ddce8041,4.69,11.03,73.31,0.0,5.97,44.69
f4f60eab-60ab-4948-bd0d-dd07389b84cb,0.0,3.34,29.54,0.0,6.41,45.21
022cd15f-9128-49b1-90e4-5938be627015,0.0,9.78,72.69,0.0,5.97,42.81
103d5e50-4e8d-4dd1-b3f4-5b89adadd309,4.69,11.54,80.49,0.0,5.96,42.01
e06c912d-222a-4dbc-abe8-f1361e9f760f,0.0,6.06,37.67,0.0,5.44,42.83
a43f034e-bd63-4ea6-815e-6d77a7d284e5,50.98,3.23,35.94,9.02,5.77,39.06
bc65d2ff-41d3-410d-b690-638dc41e7725,0.0,3.65,25.66,0.0,7.35,51.34
806bd58a-fcd1-480f-a702-d33859a4c5b0,0.0,3.72,26.08,0.0,7.28,50.92
8eda543d-8c89-4a96-a0e7-f2a33b96ddb0,0.0,5.46,35.34,0.0,6.87,50.99
4d65ca28-3239-4a51-9b75-b2d346b54e2d,0.0,4.25,20.25,0.0,5.75,51.75
0ad06e9f-7eb8-4b79-94af-25c48e3b1b78,4.69,14.56,98.52,0.0,2.44,20.48
3cb5c22a-19d0-4c38-840b-6a7bb3f6cbf3,0.0,0.0,13.4,0.0,10.5,60.1
0d1f3c70-f30f-4a50-8fea-d4fe8f914c5f,33.69,5.91,41.46,0.0,8.08,56.46
50378e1c-1117-4ca6-888b-eb4155d9cd2b,2.38,0.65,12.2,57.62,7.35,43.79
6467f411-7571-407a-be07-b8260c3daa1b,0.0,3.36,23.59,0.0,8.14,56.91
08fbdf80-23c7-45ef-af61-4d96eef55939,0.0,0.0,0.0,60.0,14.0,98.0
71815c12-8f4f-40ad-bb53-6a91dc7cd983,4.69,10.15,62.9,0.0,3.02,29.26
67c02fc5-3210-4de9-bc93-3ba98e175d6c,0.0,7.53,44.06,0.0,5.97,49.44
d33153c9-5431-4c6f-949f-8594a5153361,0.0,0.0,0.0,0.0,13.5,94.5
1274a4f9-fd6f-4eaa-99b9-a1e67a01e19b,0.0,0.0,0.0,0.0,9.0,62.0
809a26a3-64c4-4278-8b78-3255e96c9381,0.0,3.28,20.03,0.0,7.39,54.63
